ImagenTVMex,11,1,235,1
RT_com,10,1,260,1
MacJordaN,10,1,272,1
10NewsFirstSyd,10,1,274,1
fox5sandiego,9,1,275,1
OpinionLSR,9,1,293,1
ExaFM,9,1,299,1
jnascim,9,1,301,1
AsiavilleNews,8,1,336,1
LaRazon_Bolivia,7,1,357,1
ThePerezHilton,7,1,370,1
7NewsMackay,7,1,375,1
PublimetroMX,7,1,382,1
AutosyMas,7,1,383,1
mincombolivia,6,1,427,1
Chinacultureorg,6,1,428,1
kienyke,6,1,433,1
KFOX14,5,1,512,1
KirkDBorne,5,1,532,1
AmanthaP,5,1,547,1
KBRIWashDC,5,1,567,1
ArabNewsjp,5,1,570,1
TheKenWeb,5,1,575,1
Midilibre,5,1,600,1
Boldsky,5,1,609,1
YahooActuFR,5,1,610,1
mallorcadiario,5,1,618,1
catherinebarr,4,1,633,1
RawStory,4,1,642,1
eltelevisero,4,1,655,1
CulturaColectiv,4,1,678,1
AargauerZeitung,4,1,709,1
la1ere,4,1,723,1
GNOpinion,4,1,751,1
HTAutotweets,4,1,766,1
CatchNews,4,1,774,1
radio4_rne,4,1,789,1
Daily_Record,4,1,790,1
rupashreenanda,4,1,794,1
telebusiness,4,1,797,1
GOAT_aus,3,1,824,1
imfcapdev,3,1,842,1
RebelNewsOnline,3,1,859,1
ESPN_CR,3,1,884,1
Univision23,3,1,889,1
99acresIndia,3,1,964,1
sayidatynet,3,1,995,1
HayekMG,3,1,999,1
naciodigital,43,0,22,1
timesofindia,41,0,23,1
Bugabootv,20,0,96,1
JagranEnglish,19,0,107,1
yicaichina,19,0,108,1
BrasilEFE,13,0,177,1
The_NewArab,13,0,178,1
OnceNoticiasTV,13,0,181,1
Ch7HD,13,0,192,1
alejacrcu,13,0,193,1
TVNotasmx,12,0,202,1
fpjindia,12,0,213,1
dt_next,12,0,214,1
imgujarat,12,0,217,1
calgarysun,11,0,226,1
Aaron_Derfel,11,0,237,1
ndtvfeed,11,0,239,1
10NewsFirst,11,0,246,1
ACSP_Canada,10,0,250,1
TheAgenda,10,0,259,1
QuintHindi,10,0,266,1
7NewsGoldCoast,9,0,276,1
WestJournalism,9,0,280,1
StandWithUs,9,0,282,1
revistaPlanV,9,0,292,1
JdeQuebec,9,0,295,1
abpanandatv,9,0,302,1
francebleuDA,9,0,304,1
utkarsh_aanand,9,0,310,1
OmanObserver,9,0,311,1
portaluai,8,0,314,1
AmbLiuXiaoMing,8,0,315,1
healthing_ca,8,0,318,1
CarlosdelRio7,8,0,319,1
SpeakerTimJones,8,0,325,1
primeraedicionw,8,0,326,1
carmenriosss,8,0,334,1
THMumbai,8,0,338,1
OMC_Espana,8,0,349,1
BBCBreakfast,8,0,350,1
Catinformacio,8,0,351,1
7NewsWideBay,7,0,352,1
7NewsSC,7,0,358,1
chriskrokshow,7,0,365,1
rwang0,7,0,366,1
ABCNews4,7,0,367,1
mayorcantrell,7,0,368,1
Janosikgarciaz,7,0,372,1
TheNewDailyAu,7,0,380,1
InfoAtac,7,0,394,1
FirstpostSports,7,0,402,1
BOLNETWORK,7,0,404,1
OlafGersemann,7,0,409,1
PunjabiHT,7,0,412,1
elboletinmadrid,7,0,415,1
ideal_granada,7,0,416,1
heraldoes,7,0,420,1
TheCitizen_in,7,0,422,1
republic,7,0,423,1
elEconomistaes,7,0,424,1
VilledeNice,7,0,426,1
7NewsCQ,6,0,429,1
verainstitute,6,0,431,1
sabio28,6,0,439,1
hiconcep,6,0,445,1
7NewsToowoomba,6,0,448,1
fox7austin,6,0,453,1
RuidoEnLaRed,6,0,455,1
gobdecordoba,6,0,456,1
KJRH2HD,6,0,459,1
ipmsdl_,6,0,470,1
timesofoman,6,0,475,1
20fourMedia,6,0,484,1
SamayamTelugu,6,0,486,1
lindependant,6,0,487,1
CPIM_WESTBENGAL,6,0,489,1
GoldbergRadio,6,0,491,1
HydTimes,6,0,493,1
XpressOdisha,6,0,495,1
LesEchos,6,0,497,1
HindiAsiaville,6,0,498,1
NoticiasNavarra,6,0,501,1
opiniondezamora,6,0,504,1
DziennikPL,6,0,505,1
juanmartinmx,6,0,508,1
votenickmoutos,6,0,509,1
halona,6,0,510,1
CFJC_Today,5,0,511,1
CityOfNOLA,5,0,520,1
WilliamYang120,5,0,523,1
DrAttai,5,0,524,1
ConversationEDU,5,0,527,1
7NewsTownsville,5,0,531,1
tododeportes_pl,5,0,535,1
TheNatlInterest,5,0,539,1
enriqueburgosv,5,0,540,1
AnitaLomeli,5,0,542,1
8NewsNow,5,0,546,1
SalvadorZA,5,0,551,1
MetroFocus,5,0,553,1
CincoDiascom,5,0,558,1
rionegrocomar,5,0,566,1
Dana_Corres,5,0,569,1
CSISIndonesia,5,0,571,1
sergomezv,5,0,572,1
RajapaksaNamal,5,0,573,1
ramkadam,5,0,574,1
kprabhanews,5,0,576,1
9NewsGoldCoast,5,0,577,1
TgrRai,5,0,578,1
arirangtvnews,5,0,579,1
FAOPhilippines,5,0,590,1
URDUVOA,5,0,591,1
guwahatiplus,5,0,598,1
IOL,5,0,599,1
GulfTimes_QATAR,5,0,602,1
Sabadell_Help,5,0,603,1
thefield_in,5,0,605,1
AztecaNoticias,5,0,606,1
RespSocialeRai,5,0,614,1
AndamanPolice,5,0,615,1
DiarioSUR,5,0,617,1
RiazToori,5,0,619,1
heliaebrahimi,5,0,622,1
izvestia_ru,5,0,624,1
NatGeoIndia,5,0,625,1
tech2eets,5,0,626,1
tg2rai,5,0,629,1
WenzelMichalski,5,0,630,1
CGTNFrancais,5,0,632,1
InjuveCDMX,4,0,635,1
CPHO_Canada,4,0,637,1
ENH_Deportes,4,0,638,1
DiariodeMorelos,4,0,646,1
raju,4,0,648,1
Rodrigo_Cornejo,4,0,649,1
noticias14,4,0,650,1
fortunemexico,4,0,652,1
AnniaGomezNL,4,0,657,1
larepublica_pe,4,0,663,1
anonopshispano,4,0,666,1
LupitaJuarezH,4,0,667,1
HerbJWesson,4,0,668,1
WBUR,4,0,669,1
NEWSTALK1010,4,0,672,1
TheSpec,4,0,673,1
monicagarzag,4,0,675,1
OaxacaPolitico,4,0,676,1
PrimerImpacto,4,0,679,1
freyanoble,4,0,680,1
UnicableOficial,4,0,681,1
INALIMEXICO,4,0,682,1
hohocho,4,0,686,1
PueblaFMmx,4,0,697,1
JMRivaPalacio,4,0,698,1
mathieusimard,4,0,699,1
AnnastaciaMP,4,0,703,1
Omkar_Raii,4,0,707,1
rinachandran,4,0,708,1
LAist,4,0,712,1
beaudonnet,4,0,719,1
SheThePeople,4,0,721,1
CBS47,4,0,722,1
lipiindonesia,4,0,725,1
virakesari_lk,4,0,726,1
ErikaGuevaraR,4,0,733,1
News18Sports,4,0,746,1
AIADMKITWINGOFL,4,0,747,1
MetroRadioNews,4,0,748,1
ThaiPBSWorld,4,0,753,1
Koimoi,4,0,756,1
bleuarmorique,4,0,758,1
ET_RISE,4,0,759,1
tass_agency,4,0,760,1
ArgaamPlus,4,0,761,1
NACOINDIA,4,0,762,1
Consalud_es,4,0,764,1
N1infoSA,4,0,770,1
FocusWTV,4,0,775,1
jucilnacional,4,0,778,1
KFSHRC_HE,4,0,779,1
anadoluagency,4,0,782,1
irish_news,4,0,783,1
GDS_it,4,0,785,1
TUCIOfficial,4,0,793,1
RebeccaKeating,4,0,795,1
FinEmbThai,4,0,796,1
LtAndyNorris,4,0,799,1
yenisafakEN,4,0,800,1
PontAcadLife,4,0,801,1
TheLallantop,4,0,802,1
YasinKesen,3,0,805,1
TheHinduSports,3,0,809,1
69News,3,0,811,1
jahootsen,3,0,812,1
AlcaldiaDeCali,3,0,817,1
GT_Law,3,0,819,1
CaseyJBortnick,3,0,820,1
CBS6Albany,3,0,821,1
BettyMcCollum04,3,0,823,1
JohnNosta,3,0,827,1
malbertnews,3,0,829,1
PMcanadien,3,0,830,1
briciosegovia,3,0,831,1
RadioEducacion,3,0,836,1
fernandorocha26,3,0,838,1
HIElectricLight,3,0,843,1
diputadospan,3,0,845,1
gobdgo,3,0,846,1
KTVBJoe,3,0,847,1
ctvregina,3,0,848,1
Carlabacigalupo,3,0,851,1
NDIS,3,0,853,1
DominicHarris8,3,0,855,1
theBAtimes,3,0,857,1
AnaPOrdorica,3,0,858,1
shongables,3,0,860,1
drkomanduri,3,0,861,1
Max_Laguna,3,0,863,1
GlobalSaskatoon,3,0,864,1
firstdraftnews,3,0,865,1
PedroTLMD20,3,0,868,1
HwnElectric,3,0,872,1
NickRossTech,3,0,873,1
gmbutts,3,0,875,1
LaMejor,3,0,876,1
AreliPaz,3,0,881,1
MauiElectric,3,0,882,1
ANUCrawford,3,0,890,1
emiliomoreno,3,0,891,1
bbcnewstelugu,3,0,895,1
MSPUruguay,3,0,898,1
indigenous_gov,3,0,899,1
PueblaTVmx,3,0,905,1
mtra_lupita,3,0,906,1
nadine_morton,3,0,907,1
NBC6News,3,0,910,1
pajhwok,3,0,911,1
htdelhi,3,0,912,1
Forbes_Mexico,3,0,914,1
canalgnt,3,0,915,1
csgazette,3,0,916,1
JapanCons_NY,3,0,918,1
HTPunjab,3,0,919,1
ManuelCalvoCba,3,0,920,1
YuririaSierra,3,0,921,1
IrishCentral,3,0,922,1
1petermartin,3,0,923,1
mariandreamc,3,0,925,1
fema,3,0,927,1
_MelissaEgan,3,0,928,1
RosalbaVCruz,3,0,930,1
NatalieTysdal,3,0,931,1
SamAntar,3,0,932,1
AndryannaTV,3,0,934,1
mattvillano,3,0,940,1
Ch7HDSports,3,0,942,1
BrentToderian,3,0,945,1
LaNacionPy,3,0,946,1
osasuo,3,0,952,1
Silvano_A,3,0,953,1
beijingcalling,3,0,955,1
ahofschneider,3,0,956,1
CosmosMagazine,3,0,957,1
zeesalaamtweet,3,0,960,1
TenikkaANjax,3,0,963,1
KyleHarveyOnTV,3,0,965,1
gegar_my,3,0,966,1
Albawaba,3,0,969,1
LaraPaola1,3,0,972,1
WHOMongolia,3,0,973,1
claseur,3,0,974,1
Quien,3,0,975,1
JuliaFello,3,0,976,1
CamiloPrietoVal,3,0,977,1
kkellyjanus,3,0,980,1
CatholicNewsSvc,3,0,983,1
Defensoria_Peru,3,0,985,1
KhaosodOnline,3,0,993,1
cpinckard,3,0,994,1
IndonesiaBaikId,3,0,998,1
elcomerciodigit,19,-1,116,1
EPinternacional,18,-1,122,1
TUDNUSA,17,-1,136,1
5tv,13,-1,180,1
agerpres,12,-1,197,1
PueNoticias,12,-1,198,1
MGROnlineLive,12,-1,207,1
picardonhealth,11,-1,227,1
ajplusespanol,11,-1,228,1
diario24horas,11,-1,232,1
lavoixdunord,11,-1,244,1
sanjanah,10,-1,267,1
APO_source,10,-1,271,1
northwaleslive,9,-1,313,1
em_com,8,-1,316,1
mathrubhumi,8,-1,331,1
TennisActu,8,-1,342,1
DiarioLibre,7,-1,359,1
7NewsCanberra,7,-1,360,1
ABC_NewsRadio,7,-1,371,1
mickakers,7,-1,381,1
rweingarten,6,-1,438,1
CANAL44TV,6,-1,460,1
keithbaldrey,6,-1,471,1
aus_business,6,-1,474,1
eAsiaMediaHub,6,-1,480,1
Ticinonline,6,-1,483,1
cordoba,6,-1,499,1
heraldscotland,6,-1,507,1
radiopanama,5,-1,513,1
ETCanada,5,-1,517,1
7NewsCairns,5,-1,525,1
UQ_News,5,-1,528,1
11thHour,5,-1,548,1
MilenioLaguna,5,-1,550,1
animalesoficial,5,-1,581,1
coopesdetat,5,-1,588,1
france3Bretagne,5,-1,611,1
bbcgahuza,5,-1,613,1
abccordoba,5,-1,631,1
WTKR3,4,-1,651,1
CBSMiami,4,-1,653,1
QuePasaSalta,4,-1,658,1
republicagt,4,-1,660,1
cenaprece,4,-1,664,1
CainTess,4,-1,674,1
asianet_telugu,4,-1,706,1
7NewsAdelaide,4,-1,713,1
Meerasrini,4,-1,717,1
JayaTvOfficial,4,-1,728,1
humnewspakistan,4,-1,729,1
NRT_English,4,-1,738,1
lestrepublicain,4,-1,741,1
LuceverdeRoma,4,-1,744,1
bbcnewsgujarati,4,-1,757,1
richardxthripp,3,-1,806,1
newscomauHQ,3,-1,808,1
MountSinaiNYC,3,-1,828,1
nachoperaltacol,3,-1,834,1
jwgale,3,-1,840,1
gazetadopovo,3,-1,850,1
alarabonline,3,-1,852,1
FiscaliaCDMX,3,-1,869,1
OurRevolution,3,-1,896,1
ICFJ,3,-1,929,1
Mylife_KTV,3,-1,938,1
mixdotmy,3,-1,948,1
WB_AsiaPacific,3,-1,951,1
afigue2010,3,-1,958,1
SixthTone,3,-1,990,1
mario_delgado,3,-1,991,1
8worldnews,21,-2,87,1
v_shakthi,17,-2,137,1
sopitas,16,-2,141,1
oneindiaHindi,12,-2,215,1
heraldodemexico,11,-2,234,1
GazetaRu,10,-2,273,1
MediCasos,9,-2,283,1
aciprensa,9,-2,290,1
TheTyee,8,-2,330,1
filmibeat,8,-2,344,1
7NewsBrisbane,7,-2,376,1
HTTech,7,-2,390,1
livemint,7,-2,399,1
onlymyhealth,7,-2,406,1
JioNews,6,-2,457,1
boxofficeindia,6,-2,492,1
RED92cadadiamas,5,-2,516,1
BettyKPIX,5,-2,562,1
Geeta_Mohan,5,-2,582,1
mikelayestaran,5,-2,612,1
JFFiorina,5,-2,616,1
AmericaDigital,4,-2,639,1
PlenoNews,4,-2,641,1
saddamscribe,4,-2,654,1
muhammadiyah,4,-2,662,1
issafrica,4,-2,684,1
TbiHindi,4,-2,687,1
Gob_Puebla,4,-2,696,1
ProSyn,4,-2,702,1
IExpressSports,4,-2,767,1
DFinanciero,3,-2,822,1
TVVnoticias,3,-2,832,1
shen_shiwei,3,-2,874,1
UNAM_MX,3,-2,888,1
XHespanol,3,-2,903,1
Reaproy,3,-2,913,1
630CHED,3,-2,917,1
MarcaClaro,3,-2,981,1
NHSCFA,3,-2,987,1
openletterbot,1662,-3,0,1
dailystar,28,-3,51,1
SputnikInt,14,-3,164,1
adn40,12,-3,206,1
calgaryherald,10,-3,257,1
canaltn8,9,-3,279,1
abcadelaide,9,-3,286,1
gabrielbauducco,7,-3,379,1
VOANoticias,6,-3,443,1
ByClare,6,-3,465,1
DDHH_Ec,5,-3,521,1
SecPrensaSV,5,-3,529,1
BusinessTimes,5,-3,541,1
Avvenire_Nei,5,-3,589,1
Tele13_Radio,4,-3,634,1
SaksithCNA,4,-3,730,1
worldnewsdotcom,4,-3,769,1
Tuko_co_ke,4,-3,781,1
SSI_dk,4,-3,791,1
USEmbassyPH,3,-3,810,1
eshap,3,-3,867,1
Dolores_PL,3,-3,893,1
WHOKobe,3,-3,936,1
SpirosMargaris,3,-3,988,1
manoramaonline,34,-4,37,1
Imagen_Mx,23,-4,76,1
cgtnenespanol,11,-4,231,1
PaolaRojas,10,-4,261,1
DiarioLaPrensa,9,-4,289,1
confidencial_ni,9,-4,296,1
_ElFaro_,8,-4,321,1
AmerMedicalAssn,7,-4,369,1
English_AS,5,-4,522,1
NewsfromScience,5,-4,555,1
BaleBengong,5,-4,563,1
niccijsmith,5,-4,585,1
PIB_Patna,5,-4,595,1
sfchronicle,4,-4,670,1
televicentrohn,4,-4,671,1
Francebleubzh,4,-4,732,1
morningireland,4,-4,787,1
KTVU,3,-4,841,1
DanBurritt,3,-4,866,1
NACCHOAustralia,3,-4,886,1
Cairo67Unedited,3,-4,941,1
mayawiley,3,-4,947,1
JonahBlank,3,-4,962,1
7NewsSydney,10,-5,251,1
DrDenaGrayson,10,-5,258,1
Scientology,7,-5,363,1
BBCScotlandNews,7,-5,419,1
VPITV,6,-5,444,1
rthk_enews,5,-5,594,1
lessentiel,5,-5,601,1
WSarai,4,-5,700,1
htshowbiz,3,-5,943,1
WHOThailand,3,-5,950,1
IamJohnBurnett,3,-5,967,1
Thansettakij,59,-6,11,1
TN5Telenoticias,16,-6,144,1
bbcnewsmarathi,9,-6,298,1
Tagesspiegel,7,-6,397,1
Agenzia_Italia,7,-6,403,1
morandiniblog,7,-6,407,1
AndrewHolnessJM,6,-6,446,1
rpbreakingnews,6,-6,476,1
ElFinanciero_Mx,5,-6,557,1
CCNews__,5,-6,559,1
JansamparkMP,5,-6,607,1
DunyaNews,4,-6,736,1
zilevandamme,4,-6,771,1
pagina_siete,3,-6,825,1
CanadianPM,3,-6,835,1
Notimex,50,-7,16,1
gujratsamachar,40,-7,27,1
StarAdvertiser,16,-7,142,1
