investindia,7396,1
NiusDiario,7285,1
mileniotv,7279,1
ATBDigital,7245,1
BBCScotlandNews,7225,1
MVSNoticias,7188,1
elEconomistaes,7176,1
Imagen_Mx,7168,1
SputnikMundo,7106,1
thaimoph,7033,1
hariankompas,6950,1
congemfoco,6933,1
TN5Telenoticias,6900,1
punjabkesari,6896,1
oneindiaHindi,6893,1
lasillarota,6808,1
AMXNoticias,6782,1
RegLombardia,6781,1
Jerusalem_Post,6768,1
NewsX,6661,1
SylvesterTurner,6636,1
jnascim,6600,1
EcuadorTV,6500,1
fm91trafficpro,6497,1
RTenfrancais,6460,1
tnnthailand,6450,1
you_trend,6399,1
mathrubhumi,6343,1
Waqtnewstv,6335,1
forbes_india,6306,1
newsktv,6302,1
PIBAhmedabad,6301,1
govern,6286,1
ktnewsonline,6228,1
manoramaonline,6113,1
elestimulo,6104,1
24Entertain,6073,1
DiarioLaPrensa,6032,1
NationTV22,6032,1
AthiGeleba,6016,1
AztecaNoticias,6003,1
PanamaAmerica,5881,1
VOANoticias,5861,1
PublinewsGT,5846,1
PIBJaipur,5794,1
allafrica,5734,1
XHespanol,5730,1
Sanook,5669,1
URDUVOA,5656,1
ahmedabadmirror,5575,1
Agenzia_Italia,5498,1
newsonepk,5486,1
ABC7,5474,1
Medscape,5443,1
The_NewArab,5342,1
picardonhealth,5316,1
SpringNews_TV,5211,1
News18Kannada,5138,1
dailystar,5114,1
ians_india,5075,1
HPCL,5074,1
alittihadSport,5059,1
elnacionalcat,5009,1
ChimpReports,4894,1
pinkvilla,4855,1
Tagesspiegel,4827,1
timesofoman,4810,1
cnbcafrica,4795,1
tvp_info,4775,1
bbcnewstelugu,4765,1
BallouxFrancois,4765,1
DeccanChronicle,4754,1
TexasTribune,4688,1
MountSinaiNYC,4681,1
PressTV,4672,1
Spotboye,4627,1
adn40,4623,1
rnpy920am,4594,1
cgtnamerica,4584,1
nnanews,4571,1
SputnikInt,4513,1
televicentrohn,4501,1
DDIndialive,4500,1
rzeczpospolita,4484,1
AdityaRajKaul,4456,1
NEWS9TWEETS,4417,1
agenciabrasil,4414,1
orfonline,4396,1
RichardBarrow,4355,1
NH_India,4328,1
CBSThisMorning,4324,1
abc730,4308,1
DailyNewsEgypt,4285,1
PDHgt,4230,1
ThePuneMirror,4212,1
Gob_Puebla,4119,1
StefSimanowitz,4109,1
CarlosdelRio7,4030,1
RudawKurdi,4006,1
HTPunjab,3992,1
OmanObserver,3944,1
telediariomty,3842,1
bandnewsfmrio,3821,1
AFPphoto,3813,1
AlGhadTV,3750,1
mincombolivia,3737,1
RANDCorporation,3737,1
gobdecordoba,3718,1
DeccanHerald,3712,1
NewstalkFM,3710,1
AndyOstroy,3691,1
boomlive_in,3687,1
navjivanindia,3645,1
ElSabuesoAP,3592,1
GulfTimes_QATAR,3575,1
ProSyn,3573,1
Outlookindia,3523,1
OurRevolution,3502,1
PeninsulaQatar,3495,1
7NewsSydney,3484,1
euronewses,3481,1
OnceNoticiasTV,3412,1
anadoluagency,3373,1
mid_day,3359,1
IndiaToday,3356,1
sputnik_fr,3327,1
laprovence,3274,1
guwahatiplus,3244,1
Geeta_Mohan,3235,1
arabnewspk,3231,1
confidencial_ni,3178,1
INNNEWS,3147,1
21WIRE,3146,1
BR24,3129,1
mathrubhuminews,3126,1
sbtrio,3074,1
RT_com,3067,1
DLasAmericas,3042,1
srfnews,3037,1
telediario,3019,1
KhaosodOnline,3004,1
PrimerImpacto,2988,1
ecotvpanama,2988,1
CBSNewYork,2977,1
FOX5Atlanta,2954,1
THHyderabad,2897,1
AbraarKaran,2835,1
nycjim,2820,1
W7VOA,2814,1
BiIndia,2808,1
Jaime_BonillaV,2797,1
radiopanama,2790,1
CityCynthia,2763,1
asianet_tamil,2733,1
lavozdegalicia,2703,1
